grade,kenpo_grade,amount,lower,upper,health_insurance_full,health_insurance_half,long_care_health_insurance_full,long_care_health_insurance_half,child_support_full,child_support_half,pension_full,pension_half
1,,58000,,63000,5713.0,2856.5,,,133.4,66.7,,
2,,68000,63000,73000,6698.0,3349.0,,,156.4,78.2,,
3,,78000,73000,83000,7683.0,3841.5,,,179.4,89.7,,
4,1,88000,83000,93000,8668.0,4334.0,,,202.4,101.2,16104.0,8052.0
5,2,98000,93000,101000,9653.0,4826.5,,,225.4,112.7,17934.0,8967.0
6,3,104000,101000,107000,10244.0,5122.0,,,239.2,119.6,19032.0,9516.0
7,4,110000,107000,114000,10835.0,5417.5,,,253.0,126.5,20130.0,10065.0
8,5,118000,114000,122000,11623.0,5811.5,,,271.4,135.7,21594.0,10797.0
9,6,126000,122000,130000,12411.0,6205.5,,,289.8,144.9,23058.0,11529.0
10,7,134000,130000,138000,13199.0,6599.5,,,308.2,154.1,24522.0,12261.0
11,8,142000,138000,146000,13987.0,6993.5,,,326.6,163.3,25986.0,12993.0
12,9,150000,146000,155000,14775.0,7387.5,,,345.0,172.5,27450.0,13725.0
13,10,160000,155000,165000,15760.0,7880.0,,,368.0,184.0,29280.0,14640.0
14,11,170000,165000,175000,16745.0,8372.5,,,391.0,195.5,31110.0,15555.0
15,12,180000,175000,185000,17730.0,8865.0,,,414.0,207.0,32940.0,16470.0
16,13,190000,185000,195000,18715.0,9357.5,,,437.0,218.5,34770.0,17385.0
17,14,200000,195000,210000,19700.0,9850.0,,,460.0,230.0,36600.0,18300.0
18,15,220000,210000,230000,21670.0,10835.0,,,506.0,253.0,40260.0,20130.0
19,16,240000,230000,250000,23640.0,11820.0,,,552.0,276.0,43920.0,21960.0
20,17,260000,250000,270000,25610.0,12805.0,,,598.0,299.0,47580.0,23790.0
21,18,280000,270000,290000,27580.0,13790.0,,,644.0,322.0,51240.0,25620.0
22,19,300000,290000,310000,29550.0,14775.0,,,690.0,345.0,54900.0,27450.0
23,20,320000,310000,330000,31520.0,15760.0,,,736.0,368.0,58560.0,29280.0
24,21,340000,330000,350000,33490.0,16745.0,,,782.0,391.0,62220.0,31110.0
25,22,360000,350000,370000,35460.0,17730.0,,,828.0,414.0,65880.0,32940.0
26,23,380000,370000,395000,37430.0,18715.0,,,874.0,437.0,69540.0,34770.0
27,24,410000,395000,425000,40385.0,20192.5,,,943.0,471.5,75030.0,37515.0
28,25,440000,425000,455000,43340.0,21670.0,,,1012.0,506.0,80520.0,40260.0
29,26,470000,455000,485000,46295.0,23147.5,,,1081.0,540.5,86010.0,43005.0
30,27,500000,485000,515000,49250.0,24625.0,,,1150.0,575.0,91500.0,45750.0
31,28,530000,515000,545000,52205.0,26102.5,,,1219.0,609.5,96990.0,48495.0
32,29,560000,545000,575000,55160.0,27580.0,,,1288.0,644.0,102480.0,51240.0
33,30,590000,575000,605000,58115.0,29057.5,,,1357.0,678.5,107970.0,53985.0
34,31,620000,605000,635000,61070.0,30535.0,,,1426.0,713.0,113460.0,56730.0
35,32,650000,635000,665000,64025.0,32012.5,,,1495.0,747.5,118950.0,59475.0
36,,680000,665000,695000,66980.0,33490.0,,,1564.0,782.0,,
37,,710000,695000,730000,69935.0,34967.5,,,1633.0,816.5,,
38,,750000,730000,770000,73875.0,36937.5,,,1725.0,862.5,,
39,,790000,770000,810000,77815.0,38907.5,,,1817.0,908.5,,
40,,830000,810000,855000,81755.0,40877.5,,,1909.0,954.5,,
41,,880000,855000,905000,86680.0,43340.0,,,2024.0,1012.0,,
42,,930000,905000,955000,91605.0,45802.5,,,2139.0,1069.5,,
43,,980000,955000,1005000,96530.0,48265.0,,,2254.0,1127.0,,
44,,1030000,1005000,1055000,101455.0,50727.5,,,2369.0,1184.5,,
45,,1090000,1055000,1115000,107365.0,53682.5,,,2507.0,1253.5,,
46,,1150000,1115000,1175000,113275.0,56637.5,,,2645.0,1322.5,,
47,,1210000,1175000,1235000,119185.0,59592.5,,,2783.0,1391.5,,
48,,1270000,1235000,1295000,125095.0,62547.5,,,2921.0,1460.5,,
49,,1330000,1295000,1355000,131005.0,65502.5,,,3059.0,1529.5,,
50,,1390000,1355000,,136915.0,68457.5,,,3197.0,1598.5,,
